X	Sum	Error
1	не число	F2  Ошибка при вычислении
2	1991,14158885743	
3	3318,49907472669	
4	1112723,35881536	
5	7200491885,74823	
6	359269295594879	
7	1,36239040892507E+20	
8	3,89696817550727E+26	
9	8,36720730325021E+33	
10	1,34405857090806E+42	
11	1,61142326489145E+51	
12	1,43944194029898E+61	
13	9,56740357045293E+71	
14	4,72672593415913E+83	
15	1,73435171262831E+96	
16	4,72321145313779E+109	
17	9,54171307658671E+123	
18	1,42925472254937E+139	
19	1,58680796026328E+155	
20	1,30536742244105E+172	
21	7,95457954204775E+189	
22	3,58985216978767E+208	
23	1,1995630924455E+228	
24	2,9674290154806E+248	
25	5,4335189393276E+269	
26	7,36319704951E+291	
27	не число	F3  Ошибка при вычислении
28	не число	F3  Ошибка при вычислении
29	не число	F3  Ошибка при вычислении
30	не число	F3  Ошибка при вычислении
31	не число	F3  Ошибка при вычислении
32	не число	F3  Ошибка при вычислении
33	не число	F3  Ошибка при вычислении
34	не число	F3  Ошибка при вычислении
35	не число	F3  Ошибка при вычислении
36	не число	F3  Ошибка при вычислении
37	не число	F3  Ошибка при вычислении
38	не число	F3  Ошибка при вычислении
39	не число	F3  Ошибка при вычислении
40	не число	F3  Ошибка при вычислении
41	не число	F3  Ошибка при вычислении
42	не число	F3  Ошибка при вычислении
43	не число	F3  Ошибка при вычислении
44	не число	F3  Ошибка при вычислении
45	не число	F3  Ошибка при вычислении
46	не число	F3  Ошибка при вычислении
47	не число	F3  Ошибка при вычислении
48	не число	F3  Ошибка при вычислении
49	не число	F3  Ошибка при вычислении
50	не число	F3  Ошибка при вычислении
51	не число	F3  Ошибка при вычислении
52	не число	F3  Ошибка при вычислении
53	не число	F3  Ошибка при вычислении
54	не число	F3  Ошибка при вычислении
55	не число	F3  Ошибка при вычислении
56	не число	F3  Ошибка при вычислении
57	не число	F3  Ошибка при вычислении
58	не число	F3  Ошибка при вычислении
59	не число	F3  Ошибка при вычислении
60	не число	F3  Ошибка при вычислении
61	не число	F3  Ошибка при вычислении
62	не число	F3  Ошибка при вычислении
63	не число	F3  Ошибка при вычислении
64	не число	F3  Ошибка при вычислении
65	не число	F3  Ошибка при вычислении
66	не число	F3  Ошибка при вычислении
67	не число	F3  Ошибка при вычислении
68	не число	F3  Ошибка при вычислении
69	не число	F3  Ошибка при вычислении
70	не число	F3  Ошибка при вычислении
71	не число	F3  Ошибка при вычислении
72	не число	F3  Ошибка при вычислении
73	не число	F3  Ошибка при вычислении
74	не число	F3  Ошибка при вычислении
75	не число	F3  Ошибка при вычислении
76	не число	F3  Ошибка при вычислении
77	не число	F3  Ошибка при вычислении
78	не число	F3  Ошибка при вычислении
79	не число	F3  Ошибка при вычислении
80	не число	F3  Ошибка при вычислении
81	не число	F3  Ошибка при вычислении
82	не число	F3  Ошибка при вычислении
83	не число	F3  Ошибка при вычислении
84	не число	F3  Ошибка при вычислении
85	не число	F3  Ошибка при вычислении
86	не число	F3  Ошибка при вычислении
87	не число	F3  Ошибка при вычислении
88	не число	F3  Ошибка при вычислении
89	не число	F3  Ошибка при вычислении
90	не число	F3  Ошибка при вычислении
91	не число	F3  Ошибка при вычислении
92	не число	F3  Ошибка при вычислении
93	не число	F3  Ошибка при вычислении
94	не число	F3  Ошибка при вычислении
95	не число	F3  Ошибка при вычислении
96	не число	F3  Ошибка при вычислении
97	не число	F3  Ошибка при вычислении
98	не число	F3  Ошибка при вычислении
99	не число	F3  Ошибка при вычислении
100	не число	F3  Ошибка при вычислении
101	не число	F3  Ошибка при вычислении
102	не число	F3  Ошибка при вычислении
103	не число	F3  Ошибка при вычислении
104	не число	F3  Ошибка при вычислении
105	не число	F3  Ошибка при вычислении
106	не число	F3  Ошибка при вычислении
107	не число	F3  Ошибка при вычислении
108	не число	F3  Ошибка при вычислении
109	не число	F3  Ошибка при вычислении
110	не число	F3  Ошибка при вычислении
111	не число	F3  Ошибка при вычислении
112	не число	F3  Ошибка при вычислении
113	не число	F3  Ошибка при вычислении
114	не число	F3  Ошибка при вычислении
115	не число	F3  Ошибка при вычислении
116	не число	F3  Ошибка при вычислении
117	не число	F3  Ошибка при вычислении
118	не число	F3  Ошибка при вычислении
119	не число	F3  Ошибка при вычислении
120	не число	F3  Ошибка при вычислении
121	не число	F3  Ошибка при вычислении
122	не число	F3  Ошибка при вычислении
123	не число	F3  Ошибка при вычислении
124	не число	F3  Ошибка при вычислении
125	не число	F3  Ошибка при вычислении
126	не число	F3  Ошибка при вычислении
127	не число	F3  Ошибка при вычислении
128	не число	F3  Ошибка при вычислении
129	не число	F3  Ошибка при вычислении
130	не число	F3  Ошибка при вычислении
131	не число	F3  Ошибка при вычислении
